scene,fraction,atoms,bytes,bytes_per_megapixel,smape_full,smape_hole,smape_shaded,psnr_full_db
kitchen,0.0,0,73230,35315.4,0.044485,0.018607,0.046227,31.3623
kitchen,0.005,648,81781,39439.1,0.042322,0.016327,0.044072,32.0673
kitchen,0.01,1296,90170,43484.8,0.040904,0.014695,0.042669,32.4930
kitchen,0.02,2592,106785,51497.4,0.038796,0.012133,0.040592,33.2987
kitchen,0.04,5184,139691,67366.4,0.035824,0.008184,0.037686,34.1245
kitchen,0.0926,12001,225268,108636.2,0.030868,0.004949,0.032614,35.5003
kitchen,0.1235,16006,275330,132778.7,0.028782,0.004579,0.030412,36.0447
kitchen,0.2,25920,398040,191956.0,0.024724,0.004267,0.026102,37.0454
cornell,0.0,0,65150,62131.9,0.135733,0.028057,0.149244,26.6358
cornell,0.005,328,69478,66259.4,0.131442,0.028057,0.144415,26.7948
cornell,0.01,655,73712,70297.2,0.128351,0.028049,0.140937,26.9423
cornell,0.02,1311,82122,78317.6,0.123620,0.028039,0.135614,27.2538
cornell,0.04,2621,98753,94178.2,0.116159,0.028024,0.127219,27.6950
cornell,0.0926,6069,142037,135457.0,0.104516,0.027679,0.114157,28.8201
cornell,0.1235,8094,167349,159596.4,0.099687,0.027607,0.108732,29.2004
cornell,0.2,13107,229398,218771.0,0.089859,0.027516,0.097683,29.8924
